ROTACI”N DUANA;;;;;;
MEDICAMENTO;MOLECULA;PROMEDIO MES;STOCK FARMACIA;PEDIDO 60 DIAS;;STOCK BODEGA
CLARITROMICINA 500mg TABLETA | CAJA X 10. GEN-FAR S.A;CLARITROMICINA;339;598;80;;45475
CLENOX 80MG/0.8ML SOLUCION INYECTABLE | CAJA X 1. PROCAPS;ENOXAPARINA;0;100;0;;2265
CLINDAMICINA 2% CREMA VAGINAL | TUBO X 40g. GEN-FAR S.A;CLINDAMICINA;1;1;1;;59
CLINDAMICINA 2% CREMA VAGINAL | TUBO X 40GR. PROCAPS;CLINDAMICINA;2;7;0;;85
CLINDAMICINA 300mg CAPSULA | CAJA X 24. LA SANTE;CLINDAMICINA;308;364;252;;72
CLINDAMICINA 300MG CAPSULA | CAJA X 24. WINTHROOP;CLINDAMICINA;119;291;0;;4920
CLOBETAZOL 0.05% CREMA | TUBO X 30GR. GEN-FAR S.A;CLOBETASOL;162;251;73;;4917
CLONAZEPAM 2MG TABLETA | CAJA X 30. WINTHROOP;CLONAZEPAM;833;1713;0;;99174
CLONIDINA 0.150 MG TABLETA | CAJA X 250. ECAR;CLONIDINA;151;639;0;;93380
CLOPIDOGREL 75MG TABLETA | CAJA X 14. LA SANTE;CLOPIDROGEL;14;0;28;;0
CLOPIDOGREL  75mg TABLETA CON RECUBIER | CAJA X 14. GEN-FAR S.A;CLOPIDROGEL;176;516;0;;101807
CLORFENIRAMINA 2MG/5ML JARABE | FRASCO X 120ML. AVANPHARMA;CLORFENIRAMINA;27;39;15;;5123
CLORFENIRAMINA 4 MG TABLETA | CAJA X 500. ECAR;CLORFENIRAMINA;486;921;51;;46200
CLOROQUINA 250MG TABLETA O CAPSULA | CAJA X 250. HUMAX;CLOROQUINA;383;685;81;;21150
CLORURO DE SODIO ARB 1323 0.9% BOLSA X 500ML SOLUCION INYECTABLE | CAJA X 40. BAXTER;CLORURO DE SODIO;14;16;12;;9232
CLORURO DE SODIO  REF:ARB1322  0.9% BOLSA X 250ML SOLUCION INYECTABLE | CAJA X 56. BAXTER;CLORURO DE SODIO;36;33;39;;916
CLOTRIMAZOL 100 MG OVULO O TABLETA VAGINAL | CAJA X 10. PROCAPS;CLOTRIMAZOL;5;60;0;;23070
CLOTRIMAZOL 100mg OVULO O TABLETA VAGINAL | CAJA X 48. ANGLOPHARMA;CLOTRIMAZOL;3;46;0;;0
CLOTRIMAZOL 100mg OVULO O TABLETA VAGINAL | CAJA X 6. LA SANTE;CLOTRIMAZOL;10;24;0;;7687
CLOTRIMAZOL 1% CREMA | TUBO X 40g. PROCAPS;CLOTRIMAZOL;155;275;35;;8937
CLOTRIMAZOL 1% CREMA VAGINAL | TUBO X 40g. PROCAPS;CLOTRIMAZOL;62;154;0;;7442
CLOTRIMAZOL 1% SOLUCION TOPICA | FRASCO X 30ML. LAPROFF;CLOTRIMAZOL;25;35;15;;3135
CLOTRIMAZOL+NEOMICINA+BETAMETASONA 17 . CREMA | TUBO X 40G. GEN-FAR S.A;CLOTRIMAZOL+NEOMICINA+BETAMETASONA 17;48;89;7;;7390
CLOZAM  0.5mg TABLETA | CAJA X 30. HUMAX;CLONAZEPAM;1197;2356;38;;12680
CLOZAPINA 100mg TABLETA | CAJA X 20. HUMAX;CLOZAPINA;1028;1535;521;;2415
CLOZAPINA 25MG TABLETA | CAJA X 100. HUMAX;CLOZAPINA;900;1360;440;;21925
COLCHICINA 0.5mg TABLETA | CAJA X 40. EXPOFARMA;COLCHICINA;299;522;76;;54610
COLCHICINA MINIPACK 0.5mg TABLETA | CAJA X 300. LAPROFF;COLCHICINA;180;755;0;;35060
COLESTIRAMINA 4g POLVO PARA DISOLVER | CAJA X 100. WINTHROOP;COLESTIRAMINA;210;505;0;;21773
COLISTINA SULFATO+HIDROCORTISONA ACETATO+NEOMICINA SULFATO 1+05+5MG X 15ML FRASCO | CAJA X 1. EUROPACK;COLISTINA SULFATO+HIDROCORTISONA+NEOMICINA SULFATO;19;45;0;;1684
COMBIGAN 0.2%+0.5%/mL SOLUCION OFTALMICAS | FRASCO X 5mL. ALLERGAN;BRIMONIDINA + TIMOLOL;32;39;25;;752
COMBIVIR 150MG/300MG TABLETA | CAJA X 60. GLAXO;LAMIVUDINA + ZIDOVUDINA;120;240;0;;240
COMPLEJO B  10+3+20+20MG TABLETA | CAJA X 250. ECAR;COMPLEJO B;185;370;0;;20958
COMPLEJO B 10ml SOLUCION INYECTABLE | CAJA X 12. ECAR;COMPLEJO B;5;19;0;;407
CONCOR 10MG TABLETA | CAJA X 30. MERCK;BISOPROLOL;30;120;0;;930
CONDILINA 20MG/ 5ML SOLUCION TOPICA | FRASCO X 5ML. EUROPACK;PODOFILINA;6;12;0;;176
CONVULAM 100mg/mL SOLUCION ORAL | FRASCO X 300ml. EUROPACK;LEVETIRACETAM;3;7;0;;126
COQUAN 2.5MG SOLUCION ORAL | FRASCO X 30ML. SIEGFRIED;CLONAZEPAM;20;52;0;;2066
COUMADIN 5MG TABLETA | CAJA X 30. MERCK;WARFARINA SODICA;435;607;263;;6120
CREMA LUBRIDERM C/PERF EXTRA HUMEC . CREMA | FRASCO X 400mL. VARIOS E IMPORTADOS;ACEITE CRISTAL;3;2;4;;0
CREMA N. 4 MEDICADA 60 GR CREMA | TUBO X 1. TECNOQUIMICAS;VARIOS;1;8;0;;3
CROMOGLICATO DE SODIO 2% SOLUCION NASAL | FRASCO X 10ML. EXPOFARMA;CROMOGLICATO DE SODIO;2;13;0;;1172
CROMOGLICATO DE SODIO 2% SOLUCION OFTALMICAS | FRASCO X 5ML. EXPOFARMA;CROMOGLICATO DE SODIO;33;69;0;;472
